@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-04,2006-04-01,7.4,7.4,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-05,2006-05-01,7.68,7.68,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-06,2006-06-01,8.12,8.12,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-07,2006-07-01,8.23,8.23,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-08,2006-08-01,7.9,7.9,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-09,2006-09-01,7.67,7.67,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-10,2006-10-01,7.67,7.67,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-11,2006-11-01,7.42,7.42,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2006-12,2006-12-01,7.61,7.61,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-01,2007-01-01,7.76,7.76,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-02,2007-02-01,7.98,7.98,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-03,2007-03-01,7.97,7.97,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-04,2007-04-01,8.17,8.17,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-05,2007-05-01,8.12,8.12,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-06,2007-06-01,8.2,8.2,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-07,2007-07-01,7.9,7.9,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-08,2007-08-01,7.94,7.94,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-09,2007-09-01,7.93,7.93,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-10,2007-10-01,7.89,7.89,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-11,2007-11-01,7.96,7.96,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
