@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,INDICATOR,REF_AREA,frequency (label),indicator (label),country (label)
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1992-Q2,1992-04-01,149624.605108383,149624.605108383,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1992-Q3,1992-07-01,150138.246022065,150138.246022065,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1992-Q4,1992-10-01,144092.162696326,144092.162696326,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1993-Q1,1993-01-01,145424.966948015,145424.966948015,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1993-Q2,1993-04-01,146695.990652979,146695.990652979,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1993-Q3,1993-07-01,143766.30074926,143766.30074926,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1993-Q4,1993-10-01,143181.00072199,143181.00072199,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1994-Q1,1994-01-01,143953.941262118,143953.941262118,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1994-Q2,1994-04-01,141750.024665734,141750.024665734,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1994-Q3,1994-07-01,145978.079801359,145978.079801359,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1994-Q4,1994-10-01,148123.214023033,148123.214023033,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
