@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q3,1953-07-01,-17.2047363627163,-17.2047363627163,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1953-Q4,1953-10-01,-49.0897934137861,-49.0897934137861,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1954-Q1,1954-01-01,-181.424595402536,-181.424595402536,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1954-Q2,1954-04-01,-197.415284420474,-197.415284420474,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1954-Q3,1954-07-01,18.5299567634342,18.5299567634342,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1954-Q4,1954-10-01,-74.3034055727554,-74.3034055727554,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1955-Q1,1955-01-01,-186.532745721021,-186.532745721021,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1955-Q2,1955-04-01,-160.324708269914,-160.324708269914,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1955-Q3,1955-07-01,-87.2387908297829,-87.2387908297829,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1955-Q4,1955-10-01,-261.496844003607,-261.496844003607,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
