,KOR,FRN,RUS,JPN,GER,CHN,UKG,USA,AUL,IND
KOR,79,65,62,71,65,65,61,68,62,62
FRN,65,96,62,71,82,59,78,77,58,57
RUS,62,62,80,61,58,60,56,63,54,58
JPN,71,71,61,84,72,60,71,77,66,62
GER,65,82,58,72,88,57,80,73,57,56
CHN,65,59,60,60,57,77,56,61,51,64
UKG,61,78,56,71,80,56,85,75,58,55
USA,68,77,63,77,73,61,75,92,65,60
AUL,62,58,54,66,57,51,58,65,72,54
IND,62,57,58,62,56,64,55,60,54,80
