,KOR,FRN,RUS,JPN,GER,CHN,UKG,USA,AUL,IND
KOR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
FRN,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
RUS,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
JPN,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
GER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CHN,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
UKG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
USA,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
AUL,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
IND,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
